Index,day,biomassH,day,biomassHF,day,biomass2015,day,yieldH,day,yieldHF,day,yield2015,day,laiH,day,laiHF,day,lai2015,day,biomassM,day,biomassM,biomassMStdError,day,laiM,day,laiM,laiMStdError,Index,day,SAT ,day,SW2015,day,DUL ,day,LL ,day,NO32015,day,ST2015,day,SWM,day,SWM,SWMStdError,day,NO3M,day,NO3M,NO3MStdError,day,STM,day,STM,STMStdError
3316,29,0,29,0,,,29,0,29,0,,,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3317,30,0,30,0,,,30,0,30,0,,,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3318,31,0,31,0,,,31,0,31,0,,,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3319,32,0,32,0,,,32,0,32,0,,,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3320,33,0,33,0,,,33,0,33,0,,,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3321,34,0,34,0,,,34,0,34,0,,,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3322,35,0,35,0,,,35,0,35,0,,,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3323,36,0,36,0,,,36,0,36,0,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3324,37,0,37,0,,,37,0,37,0,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3325,38,0,38,0,,,38,0,38,0,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3326,39,0,39,0,,,39,0,39,0,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3327,40,0,40,0,,,40,0,40,0,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3328,41,0,41,0,,,41,0,41,0,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3329,42,0,42,0,,,42,0,42,0,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3330,43,0,43,0,,,43,0,43,0,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3331,44,0,44,0,,,44,0,44,0,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332,45,0,45,0,,,45,0,45,0,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333,46,0,46,0,,,46,0,46,0,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3334,47,0,47,0,,,47,0,47,0,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335,48,0,48,0,,,48,0,48,0,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3336,49,0,49,0,,,49,0,49,0,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3337,50,0,50,0,,,50,0,50,0,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3338,51,0,51,0,,,51,0,51,0,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339,52,0,52,0,,,52,0,52,0,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3340,53,0,53,0,,,53,0,53,0,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341,54,0,54,0,,,54,0,54,0,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342,55,0,55,0,,,55,0,55,0,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3343,56,0,56,0,,,56,0,56,0,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344,57,0,57,0,,,57,0,57,0,,,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345,58,0,58,0,,,58,0,58,0,,,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3346,59,0,59,0,,,59,0,59,0,,,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3347,60,0,60,0,,,60,0,60,0,,,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3348,61,0,61,0,,,61,0,61,0,,,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,62,0,62,0,,,62,0,62,0,,,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3350,63,0,63,0,,,63,0,63,0,,,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3351,64,0,64,0,,,64,0,64,0,,,64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3352,65,0,65,0,,,65,0,65,0,,,65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3353,66,0,66,0,,,66,0,66,0,,,66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3354,67,0,67,0,,,67,0,67,0,,,67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3355,68,0,68,0,,,68,0,68,0,,,68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,69,0,69,0,,,69,0,69,0,,,69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3357,70,0,70,0,,,70,0,70,0,,,70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3358,71,0,71,0,,,71,0,71,0,,,71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3359,72,0,72,0,,,72,0,72,0,,,72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3360,73,0,73,0,,,73,0,73,0,,,73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3361,74,0,74,0,,,74,0,74,0,,,74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3362,75,0,75,0,,,75,0,75,0,,,75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3363,76,0,76,0,,,76,0,76,0,,,76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3364,77,0,77,0,,,77,0,77,0,,,77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3365,78,0,78,0,,,78,0,78,0,,,78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3366,79,0,79,0,,,79,0,79,0,,,79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3367,80,0,80,0,,,80,0,80,0,,,80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3368,81,0,81,0,,,81,0,81,0,,,81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3369,82,0,82,0,,,82,0,82,0,,,82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3370,83,0,83,0,,,83,0,83,0,,,83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3371,84,0,84,0,,,84,0,84,0,,,84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3372,85,0,85,0,,,85,0,85,0,,,85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3373,86,0,86,0,,,86,0,86,0,,,86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3374,87,0,87,0,,,87,0,87,0,,,87,0,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3375,88,0,88,0,,,88,0,88,0,,,88,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3376,89,0,89,0,,,89,0,89,0,,,89,0,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377,90,0,90,0,,,90,0,90,0,,,90,0,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3378,91,0,91,0,,,91,0,91,0,,,91,0,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3379,92,0,92,0,,,92,0,92,0,,,92,0,92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380,93,0,93,0,,,93,0,93,0,,,93,0,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381,94,0,94,0,,,94,0,94,0,,,94,0,94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382,95,0,95,0,,,95,0,95,0,,,95,0,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,96,0,96,0,,,96,0,96,0,,,96,0,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3384,97,0,97,0,,,97,0,97,0,,,97,0,97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3385,98,0,98,0,,,98,0,98,0,,,98,0,98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3386,99,0,99,0,,,99,0,99,0,,,99,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,100,0,100,0,,,100,0,100,0,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3388,101,0,101,0,,,101,0,101,0,,,101,0,101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3389,102,0,102,0,,,102,0,102,0,,,102,0,102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3390,103,0,103,0,,,103,0,103,0,,,103,0,103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,104,0,104,0,,,104,0,104,0,,,104,0,104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3392,105,0,105,0,,,105,0,105,0,,,105,0,105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3393,106,0,106,0,,,106,0,106,0,,,106,0,106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,107,0,107,0,,,107,0,107,0,,,107,0,107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3395,108,0,108,0,,,108,0,108,0,,,108,0,108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3396,109,0,109,0,,,109,0,109,0,,,109,0,109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3397,110,0,110,0,,,110,0,110,0,,,110,0,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3398,111,0,111,0,,,111,0,111,0,,,111,0,111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,112,0,112,0,,,112,0,112,0,,,112,0,112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,113,0,113,0,,,113,0,113,0,,,113,0,113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3401,114,0,114,0,,,114,0,114,0,,,114,0,114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3402,115,0,115,0,,,115,0,115,0,,,115,0,115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3403,116,0,116,0,,,116,0,116,0,,,116,0,116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3404,117,0,117,0,,,117,0,117,0,,,117,0,117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3405,118,1.5,118,0,,,118,0,118,0,,,118,0.003,118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3406,119,1.5,119,0,,,119,0,119,0,,,119,0.003,119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3407,120,1.5,120,0,,,120,0,120,0,,,120,0.003,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3408,121,1.6,121,0,,,121,0,121,0,,,121,0.003,121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3409,122,1.6,122,0,,,122,0,122,0,,,122,0.003,122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3410,123,1.7,123,1.5,,,123,0,123,0,,,123,0.003,123,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3411,124,2.1,124,1.8,,,124,0,124,0,,,124,0.004,124,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3412,125,2.4,125,2.2,,,125,0,125,0,,,125,0.005,125,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,126,2.4,126,2.9,,,126,0,126,0,,,126,0.004,126,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3414,127,2.8,127,3.6,,,127,0,127,0,,,127,0.004,127,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3415,128,3.5,128,4.8,,,128,0,128,0,,,128,0.006,128,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3416,129,4.5,129,6.7,,,129,0,129,0,,,129,0.007,129,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3417,130,6.1,130,7.3,,,130,0,130,0,,,130,0.009,130,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3418,131,7.9,131,7.5,,,131,0,131,0,,,131,0.011,131,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,132,10.5,132,9.1,,,132,0,132,0,,,132,0.013,132,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3420,133,13.4,133,12.2,,,133,0,133,0,,,133,0.015,133,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3421,134,16.4,134,12.5,,,134,0,134,0,,,134,0.018,134,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3422,135,20.7,135,14.9,,,135,0,135,0,,,135,0.021,135,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3423,136,25.8,136,16.3,,,136,0,136,0,,,136,0.026,136,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3424,137,30.5,137,17,,,137,0,137,0,,,137,0.031,137,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3425,138,34.1,138,22.9,,,138,0,138,0,,,138,0.036,138,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3426,139,39.6,139,30.3,,,139,0,139,0,,,139,0.043,139,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3427,140,50.5,140,39.5,,,140,0,140,0,,,140,0.05,140,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,141,62.5,141,50,,,141,0,141,0,,,141,0.057,141,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,142,76.3,142,58.8,,,142,0,142,0,,,142,0.066,142,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3430,143,91.7,143,73.1,,,143,0,143,0,,,143,0.077,143,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3431,144,107.8,144,88.6,,,144,0,144,0,,,144,0.091,144,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3432,145,116.7,145,107.4,,,145,0,145,0,,,145,0.104,145,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3433,146,138.9,146,114.4,,,146,0,146,0,,,146,0.117,146,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3434,147,163.6,147,119.8,,,147,0,147,0,,,147,0.127,147,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3435,148,176.2,148,141.2,,,148,0,148,0,,,148,0.14,148,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3436,149,208,149,172.1,,,149,0,149,0,,,149,0.162,149,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,150,239.3,150,198.8,,,150,0,150,0,,,150,0.192,150,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3438,151,275.1,151,229.3,,,151,0,151,0,,,151,0.22,151,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3439,152,313.8,152,262.6,,,152,0,152,0,,,152,0.243,152,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3440,153,371.4,153,312.4,,,153,0,153,0,,,153,0.274,153,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3441,154,431.5,154,364.7,,,154,0,154,0,,,154,0.309,154,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442,155,503.5,155,427.7,,,155,0,155,0,,,155,0.341,155,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3443,156,582.6,156,497.4,,,156,0,156,0,,,156,0.378,156,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3444,157,668.8,157,573.8,,,157,0,157,0,,,157,0.426,157,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,158,761.5,158,656.3,,,158,0,158,0,,,158,0.481,158,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446,159,866.9,159,751,,,159,0,159,0,,,159,0.535,159,0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447,160,964.4,160,838.9,,,160,0,160,0,,,160,0.571,160,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448,161,"1,069.20",161,933.8,,,161,0,161,0,,,161,0.613,161,0.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,162,"1,130.40",162,989.5,,,162,0,162,0,,,162,0.668,162,0.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,163,"1,227.70",163,"1,078.30",,,163,0,163,0,,,163,0.742,163,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3451,164,"1,356.00",164,"1,196.10",,,164,0,164,0,,,164,0.802,164,0.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3452,165,"1,451.10",165,"1,283.70",,,165,0,165,0,,,165,0.851,165,0.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3453,166,"1,584.40",166,"1,407.00",,,166,0,166,0,,,166,0.901,166,0.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,167,"1,756.20",167,"1,566.20",,,167,0,167,0,,,167,0.968,167,0.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3455,168,"1,929.80",168,"1,727.80",,,168,0,168,0,,,168,1.048,168,0.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456,169,"2,040",169,"1,830.50",,,169,0,169,0,,,169,1.218,169,1.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457,170,"2,261.70",170,"2,029.90",,,170,0,170,0,,,170,1.431,170,1.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458,171,"2,506.60",171,"2,252.80",,,171,0,171,0,,,171,1.677,171,1.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3459,172,"2,651",172,"2,385.60",,,172,0,172,0,,,172,1.86,172,1.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3460,173,"2,816.40",173,"2,540.80",,,173,0,173,0,,,173,2.052,173,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461,174,"3,071.60",174,"2,782.40",,,174,0,174,0,,,174,2.288,174,2.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3462,175,"3,210.50",175,"2,914.90",,,175,0,175,0,,,175,2.422,175,2.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3463,176,"3,421",176,"3,116.80",,,176,0,176,0,,,176,2.61,176,2.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3464,177,"3,638",177,"3,327.10",,,177,0,177,0,,,177,2.788,177,2.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3465,178,"3,974.70",178,"3,654.80",,,178,0,178,0,,,178,3.042,178,2.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3466,179,"4,317.00",179,"3,990.20",,,179,0,179,0,,,179,3.274,179,3.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3467,180,"4,679",180,"4,346.30",,,180,0,180,0,,,180,3.496,180,3.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3468,181,"5,034.30",181,"4,697.80",,,181,0,181,0,,,181,3.693,181,3.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3469,182,"5,323.30",182,"4,984",,,182,0,182,0,,,182,3.839,182,3.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3470,183,"5,622",183,"5,280.30",,,183,0,183,0,,,183,3.977,183,3.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3471,184,"6,002.70",184,"5,659.00",,,184,0,184,0,,,184,4.082,184,4.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3472,185,"6,373.20",185,"6,027.90",,,185,0,185,0,,,185,4.128,185,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3473,186,"6,761.00",186,"6,414.50",,,186,0,186,0,,,186,4.135,186,4.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3474,187,"7,145.90",187,"6,798.40",,,187,0,187,0,,,187,4.13,187,4.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3475,188,"7,522.60",188,"7,174.10",,,188,0,188,0,,,188,4.126,188,4.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3476,189,"7,900.60",189,"7,551.30",,,189,0,189,0,,,189,4.122,189,4.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3477,190,"8,284.40",190,"7,934.20",,,190,0,190,0,,,190,4.118,190,4.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478,191,"8,650.70",191,"8,299.70",,,191,0,191,0,,,191,4.114,191,4.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3479,192,"8,915.40",192,"8,563.70",,,192,0,192,0,,,192,4.11,192,4.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3480,193,"9,173.70",193,"8,821.50",,,193,0,193,0,,,193,4.107,193,4.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3481,194,"9,466.30",194,"9,113.50",,,194,0,194,0,,,194,4.103,194,4.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3482,195,"9,699.70",195,"9,347",,,195,0,195,0,,,195,4.1,195,4.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3483,196,"9,851.20",196,"9,497.70",,,196,0,196,0,,,196,4.096,196,4.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3484,197,"10,216.40",197,"9,862.20",,,197,0.00,197,0.00,,,197,4.093,197,4.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3485,198,"10,404",198,"10,049.60",,,198,0.00,198,0.00,,,198,4.09,198,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3486,199,"10,662.50",199,"10,307.60",,,199,0,199,0.00,,,199,4.087,199,4.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3487,200,"10,899.00",200,"10,544",,,200,0.00,200,0.00,,,200,4.084,200,4.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3488,201,"11,273.50",201,"10,917.50",,,201,0.00,201,0.00,,,201,4.082,201,4.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3489,202,"11,623.30",202,"11,266.80",,,202,0.00,202,0.00,,,202,4.079,202,4.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3490,203,"11,830.10",203,"11,473.30",,,203,284.70,203,284.90,,,203,4.076,203,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3491,204,"12,015.90",204,"11,658.80",,,204,570.80,204,571.20,,,204,4.074,204,4.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3492,205,"12,252.60",205,"11,895.10",,,205,861.80,205,862,,,205,4.072,205,4.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3493,206,"12,432.30",206,"12,074.50",,,206,"1,169.20",206,"1,170.00",,,206,4.069,206,4.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3494,207,"12,642.20",207,"12,284",,,207,"1,472.30",207,"1,473.30",,,207,4.067,207,4.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
